rank,fhrsid,business_name,postcode,category,category_source,is_food,confidence,confidence_margin,fsa_tier_score,google_tier_score,online_tier_score,ops_tier_score,menu_tier_score,reputation_tier_score,rcs_final,rcs_band,convergence,quality_score,digital_presence_score,signals_available,signals_total,observed_signals,inferred_signals,provenance_ratio,sentiment_score,red_flag_count,red_flags,companies_house_status
24,1854458,Costa Coffee,B49 6PQ,Cafe / Coffee Shop,google_types,True,Low,0.8,9.2,7.515,,10.0,,,9.248,Excellent,converged(avg_div=0.000),9.067,3.333,14,40,10,4,0.71,0.8,0,,not_checked
25,503479,The Pavillion,OX15 6HT,Other,unclassified,True,Low,0.8,8.43,9.312,,10.0,,,9.245,Excellent,converged(avg_div=0.100),9.143,3.333,15,40,11,4,0.73,0.9,0,,not_checked
26,1228994,Mor,CV37 6EX,Bakery / Desserts,google_types,True,Low,0.8,8.481,9.185,,10.0,,,9.243,Excellent,converged(avg_div=0.080),8.96,3.333,16,40,10,6,0.62,0.84,0,,not_checked
27,1735216,The Stables,B94 5BQ,Other,unclassified,True,Low,0.8,8.377,9.397,,10.0,,,9.235,Excellent,converged(avg_div=0.100),8.626,3.333,15,40,10,5,0.67,0.75,0,,not_checked
28,565221,Costa,B95 5DA,Cafe / Coffee Shop,google_types,True,Low,0.8,9.148,8.654,,10.0,,,9.216,Excellent,neutral(avg_div=0.140),8.883,3.333,16,40,11,5,0.69,0.75,0,,not_checked
29,1842631,Snitterfield Arms,CV37 0JH,Pub / Bar,google_types,True,Low,0.8,8.759,8.17,,10.0,,,9.155,Excellent,converged(avg_div=0.060),7.786,3.333,14,40,10,4,0.71,0.61,0,,not_checked
30,502872,Ettington Park Hotel,CV37 8BU,Hotel / Accommodation,google_types,True,Low,0.8,8.263,9.23,,10.0,,,9.13,Excellent,converged(avg_div=0.060),8.708,3.333,16,40,10,6,0.62,1.0,0,,not_checked
31,1672985,Bidford Community Fridge & Cafe,B50 4QB,Cafe / Coffee Shop,google_types,True,Low,0.8,8.344,9.016,,10.0,,,9.125,Excellent,converged(avg_div=0.040),8.948,3.333,14,40,10,4,0.71,0.85,0,,not_checked
32,1774606,Bumbles,B80 7AN,Italian Restaurant,google_types,True,Medium,0.5,8.191,9.249,,10.0,10.0,,9.117,Excellent,converged(avg_div=0.040),9.173,3.333,16,40,10,6,0.62,0.85,0,,not_checked
33,1800191,Chapter 23,B49 5AF,Cafe / Coffee Shop,google_types,True,Low,0.8,8.393,8.81,,10.0,,,9.102,Excellent,converged(avg_div=0.060),9.142,3.333,17,40,10,7,0.59,1.0,0,,not_checked
34,503478,Starbucks,CV37 6AU,Fast Food / Quick Service,google_types,True,Low,0.8,9.871,7.671,,10.0,,,9.102,Excellent,mild_divergence(avg_div=0.240),7.582,3.333,16,40,11,5,0.69,0.65,0,,not_checked
