fhrsid,business_name,category,postcode,v3_rank,v3_final,v3_band,v3_confidence,v4_final,v4_class,v4_rankable,v4_league_eligible,delta,v4_trust,v4_customer,v4_commercial,v4_platforms,v4_reviews,v3_sentiment,v3_red_flags,v3_google_tier,v4_penalties,v4_caps,primary_reason,reason_tags
503032,The Spice Room,Indian Restaurant,B49 5AD,94,8.446,Excellent,Low,8.686,Rankable-B,True,True,0.24,9.23,8.599,7.5,google,127,,0,8.485,,,missing_source_discipline,missing_source_discipline
1800190,CAMEO Lunch Club,Catering,,184,5.436,Generally Satisfactory,Low,5.67,Rankable-B,True,True,0.234,5.978,7.285,0.0,google,20,,0,6.695,,,shrinkage_low_counts,missing_source_discipline|shrinkage_low_counts
1266894,Barnabys,British Restaurant,CV37 6BA,90,8.467,Excellent,Low,8.238,Rankable-B,True,True,-0.229,9.202,7.628,7.5,google,1179,,0,8.818,,,missing_source_discipline,missing_source_discipline
1796548,The Kingfisher FishBar,Fast Food / Quick Service,CV37 6LW,46,8.96,Excellent,Low,8.744,Rankable-B,True,True,-0.216,9.305,8.66,7.5,google,386,,0,8.453,,,missing_source_discipline,missing_source_discipline
502877,DoubleTree By Hilton,Hotel / Accommodation,CV37 6QQ,144,7.685,Good,Low,7.469,Rankable-B,True,True,-0.216,8.388,8.308,2.5,google,1314,,0,9.44,,,missing_source_discipline,missing_source_discipline
503316,Lambs,British Restaurant,CV37 6EF,66,8.726,Excellent,Low,8.939,Rankable-B,True,True,0.213,9.153,9.229,7.5,google,1372,,0,9.327,,,missing_source_discipline,missing_source_discipline
1747703,GAIL's Stratford-Upon-Avon,Fast Food / Quick Service,CV37 6AU,53,8.821,Excellent,Low,8.608,Rankable-B,True,True,-0.213,9.644,8.056,7.5,google,139,,0,8.297,,,missing_source_discipline,missing_source_discipline
1246463,The Avon Lounge,Pub / Bar,CV37 6LP,106,8.317,Excellent,Low,8.107,Rankable-B,True,True,-0.21,8.931,7.576,7.5,google,83,,0,7.839,,,missing_source_discipline,missing_source_discipline
503972,The George Hotel,British Restaurant,CV36 4AJ,110,8.288,Excellent,Low,8.497,Rankable-B,True,True,0.209,8.584,8.753,7.5,google,1034,,0,9.182,,,missing_source_discipline,missing_source_discipline
502864,Hussains,Indian Restaurant,CV37 6EP,64,8.748,Excellent,Low,8.541,Rankable-B,True,True,-0.207,9.306,8.209,7.5,google,331,,0,8.454,,,missing_source_discipline,missing_source_discipline
1388310,The Coach House,Pub / Bar,CV37 6LP,91,8.464,Excellent,Low,8.257,Rankable-B,True,True,-0.207,8.783,8.042,7.5,google,565,,0,8.663,,,missing_source_discipline,missing_source_discipline
503821,The Balti Hut,Indian Restaurant,CV47 0HA,160,7.279,Good,Low,7.48,Rankable-B,True,True,0.201,7.244,7.682,7.5,google,144,,0,8.158,,,missing_source_discipline,missing_source_discipline
1364372,The Bell Inn,Pub / Bar,CV37 8EB,61,8.763,Excellent,Low,8.563,Rankable-B,True,True,-0.2,8.484,8.988,7.5,google,1157,,0,9.255,,,missing_source_discipline,missing_source_discipline
1802818,11/17 Salt Beef Bar,Restaurant (General),CV37 6GJ,52,8.843,Excellent,Low,8.649,Rankable-B,True,True,-0.194,9.758,8.769,5.0,google,83,,0,8.399,,,missing_source_discipline,missing_source_discipline
503960,Blue Bean Coffee Shop,Cafe / Coffee Shop,CV36 4AF,109,8.305,Excellent,Low,8.488,Rankable-B,True,True,0.183,8.345,8.945,7.5,google,200,,0,8.48,,,missing_source_discipline,missing_source_discipline
502816,Loxleys Restaurant And Wine Bar,British Restaurant,CV37 6EF,81,8.59,Excellent,Low,8.772,Rankable-B,True,True,0.182,8.723,9.238,7.5,google,1669,,0,9.327,,,missing_source_discipline,missing_source_discipline
1297845,Lounge@26,Cafe / Coffee Shop,B49 5AB,42,8.994,Excellent,Low,8.815,Rankable-B,True,True,-0.179,9.624,8.535,7.5,google,198,,0,8.102,,,missing_source_discipline,missing_source_discipline
1577024,Puddleduck Cafe Ltd,Cafe / Coffee Shop,CV47 1AJ,55,8.815,Excellent,Low,8.644,Rankable-B,True,True,-0.171,9.746,8.88,5.0,google,75,,0,8.42,,,missing_source_discipline,missing_source_discipline
503081,Sans Oriental Restaurant,Chinese Restaurant,B95 5AT,99,8.409,Excellent,Low,8.58,Rankable-B,True,True,0.171,8.708,8.826,7.5,google,289,,0,8.601,,,missing_source_discipline,missing_source_discipline
1796547,Feel Good Crystals,Cafe / Coffee Shop,CV36 5LE,24,9.247,Excellent,Low,9.081,Rankable-B,True,True,-0.166,9.68,9.074,7.5,google,105,,0,8.615,,,missing_source_discipline,missing_source_discipline
503525,Shah's,Indian Restaurant,CV35 9LU,60,8.771,Excellent,Low,8.935,Rankable-B,True,True,0.164,9.324,9.068,7.5,google,331,,0,8.745,,,missing_source_discipline,missing_source_discipline
1513917,The Water Margin @ The Hollybush,Takeaway,CV47 7RW,143,7.691,Good,Low,7.529,Rankable-B,True,True,-0.162,7.153,7.872,7.5,google,73,,0,7.924,,,missing_source_discipline,missing_source_discipline
503319,Shipston Pizza And Kebab House,Fast Food / Quick Service,CV36 4AL,174,6.752,Good,Low,6.913,Rankable-B,True,True,0.161,5.882,7.634,7.5,google,110,,0,7.702,,,missing_source_discipline,missing_source_discipline
1253300,The Keys,Pub / Bar,CV37 6LW,158,7.315,Good,Low,7.155,Rankable-B,True,True,-0.16,7.0,8.012,5.0,google,387,,0,8.464,,STALE-2Y,penalty_logic,penalty_logic|missing_source_discipline
1495078,Four Seasons Pho Limited,Asian Restaurant,CV37 6LF,155,7.42,Good,Low,7.569,Rankable-B,True,True,0.149,7.0,8.097,7.5,google,167,,0,8.404,,STALE-2Y,penalty_logic,penalty_logic|missing_source_discipline
1029137,The Buck And Bell,Pub / Bar,CV47 9PH,141,7.701,Good,Low,7.849,Rankable-B,True,True,0.148,7.094,8.637,7.5,google,331,,0,8.373,,,missing_source_discipline,missing_source_discipline
1884822,WINGERS STRATFORD,American / Grill,CV37 0BF,156,7.394,Good,Low,7.253,Rankable-B,True,True,-0.141,7.503,7.782,5.0,google,40,,0,7.656,,,missing_source_discipline,missing_source_discipline
1176874,The Garden Shed Cafe,Cafe / Coffee Shop,CV35 9NZ,138,7.855,Good,Low,7.988,Rankable-B,True,True,0.133,7.13,8.913,7.5,google,494,,0,8.883,,,missing_source_discipline,missing_source_discipline
503481,The Opposition,French Restaurant,CV37 6EF,38,9.021,Excellent,Low,8.895,Rankable-B,True,True,-0.126,8.883,9.37,7.5,google,533,,0,9.069,,,missing_source_discipline,missing_source_discipline
