fhrsid,business_name,category,postcode,v3_rank,v3_final,v3_band,v3_confidence,v4_final,v4_class,v4_rankable,v4_league_eligible,delta,v4_trust,v4_customer,v4_commercial,v4_platforms,v4_reviews,v3_sentiment,v3_red_flags,v3_google_tier,v4_penalties,v4_caps,primary_reason,reason_tags
1299513,Oxheart,Restaurant (General),CV36 5JJ,5,9.722,Excellent,Low,8.438,Rankable-B,True,True,-1.284,9.965,8.228,5.0,google,26,,0,7.887,,,shrinkage_low_counts,missing_source_discipline|shrinkage_low_counts
503343,Starbucks -  Southbound,Cafe / Coffee Shop,CV35 0AA,80,8.592,Excellent,Low,7.33,Rankable-B,True,True,-1.262,8.784,7.648,2.5,google,10079,,0,9.2,,,google_de_overweight,google_de_overweight|missing_source_discipline
503218,Burger King - Southbound,Fast Food / Quick Service,CV35 0AA,83,8.567,Excellent,Low,7.325,Rankable-B,True,True,-1.242,8.772,7.648,2.5,google,10079,,0,9.2,,,google_de_overweight,google_de_overweight|missing_source_discipline
1705603,Escape Arts,Other,CV37 6EE,152,7.476,Good,Low,6.255,Directional-C,False,False,-1.221,7.0,6.844,2.5,google,1,,0,5.1,,STALE-2Y,low_evidence_gating,low_evidence_gating|penalty_logic|missing_source_discipline|shrinkage_low_counts
1266904,Good Breakfast,Other,CV35 0AA,105,8.338,Excellent,Low,7.133,Rankable-B,True,True,-1.205,8.547,7.42,2.5,google,9507,,0,9.12,,,google_de_overweight,google_de_overweight|missing_source_discipline
503732,Pizza Hut Restaurants - Dine In,Italian Restaurant,CV37 0HZ,70,8.697,Excellent,Low,7.5,Rankable-B,True,True,-1.197,7.0,8.778,5.0,google,1831,,0,9.182,,STALE-2Y,penalty_logic,penalty_logic|missing_source_discipline
1266889,Turkish Stonebakers,Mediterranean Restaurant,CV35 9NE,168,7.005,Good,Low,8.124,Rankable-B,True,True,1.119,7.083,9.258,7.5,google,294,,0,9.131,,,missing_source_discipline,missing_source_discipline
503565,A G D Equipment Ltd,Other,CV37 9LQ,,8.801,Not Ranked,Low,7.712,Rankable-B,True,True,-1.089,9.601,7.771,2.5,google,16,,0,7.525,,,shrinkage_low_counts,missing_source_discipline|shrinkage_low_counts
565220,Four Teas,Cafe / Coffee Shop,CV37 6EF,179,6.242,Generally Satisfactory,Low,7.326,Rankable-B,True,True,1.084,5.633,8.773,7.5,google,1602,,0,9.182,,,missing_source_discipline,missing_source_discipline
503931,Bella Italia Also Trading As Super Nonna,Italian Restaurant,CV37 6JG,103,8.362,Excellent,Low,7.284,Rankable-B,True,True,-1.078,7.0,8.298,5.0,google,1029,,0,9.036,,STALE-2Y,penalty_logic,penalty_logic|missing_source_discipline
1756585,Annie's Cafe & Event Catering,Cafe / Coffee Shop,B49 5QF,37,9.04,Excellent,Low,7.964,Rankable-B,True,True,-1.076,9.631,8.303,2.5,google,94,,0,8.231,,,missing_source_discipline,missing_source_discipline
1672985,Bidford Community Fridge & Cafe,Cafe / Coffee Shop,B50 4QB,35,9.081,Excellent,Low,8.021,Rankable-B,True,True,-1.06,7.0,9.101,7.5,google,173,,0,8.824,,STALE-2Y,penalty_logic,penalty_logic|missing_source_discipline
503104,Simla Takeaway,Indian Restaurant,CV37 6LE,163,7.154,Good,Medium,8.2,Rankable-B,True,True,1.046,9.381,7.384,7.5,google,73,0.57,0,7.53,,,structural_shift,structural_shift
503479,The Pavillion,Other,OX15 6HT,27,9.217,Excellent,Low,8.175,Rankable-B,True,True,-1.042,9.608,8.793,2.5,google,3261,,0,9.182,,,missing_source_discipline,missing_source_discipline
1024960,Starbucks Drive Thru,Fast Food / Quick Service,CV35 0AA,44,8.984,Excellent,Low,7.947,Rankable-B,True,True,-1.037,9.95,6.317,7.5,google,587,,0,8.101,,,missing_source_discipline,missing_source_discipline
503376,The Garden Cafe,Food & Drink,B49 5PD,11,9.493,Excellent,Low,8.461,Rankable-B,True,True,-1.032,9.165,8.99,5.0,google,1191,,0,9.68,,,missing_source_discipline,missing_source_discipline
1838728,Elders Who Lunch (Hartley Locums),Other,CV47 8LS,121,8.121,Excellent,Low,7.094,Directional-C,False,False,-1.027,8.506,7.369,2.5,google,9,,0,6.412,,,low_evidence_gating,low_evidence_gating|missing_source_discipline|shrinkage_low_counts
1584574,Stratford On Avon Golf Club,Other,CV37 7BA,,8.922,Not Ranked,Low,7.901,Rankable-B,True,True,-1.021,9.308,8.451,2.5,google,88,,0,8.273,,,missing_source_discipline,missing_source_discipline
1854458,Costa Coffee,Cafe / Coffee Shop,B49 6PQ,36,9.054,Excellent,Low,8.034,Directional-C,False,False,-1.02,9.801,7.475,5.0,google,9,,0,6.672,,,low_evidence_gating,low_evidence_gating|missing_source_discipline|shrinkage_low_counts
503401,Shukurs,Indian Restaurant,CV35 0HP,164,7.126,Good,Low,8.11,Rankable-B,True,True,0.984,7.176,9.144,7.5,google,526,,0,8.989,,,missing_source_discipline,missing_source_discipline
503089,Touchdown Cafe,Cafe / Coffee Shop,CV35 9EU,165,7.111,Good,Low,8.081,Rankable-B,True,True,0.97,7.287,8.981,7.5,google,1034,,0,9.027,,,missing_source_discipline,missing_source_discipline
503282,Arrow Mill,Pub / Bar,B49 5NL,1,10.0,Excellent,Low,9.049,Rankable-B,True,True,-0.951,9.932,8.781,7.5,google,1988,1.0,0,9.526,,,sentiment_removal,sentiment_removal
1808716,Fast Flavour,Restaurant (General),CV37 6AB,48,8.907,Excellent,Low,7.97,Rankable-B,True,True,-0.937,9.252,7.82,5.0,google,27,,0,7.588,,,shrinkage_low_counts,missing_source_discipline|shrinkage_low_counts
502962,Curry Republic,Indian Restaurant,B95 5AA,180,6.19,Generally Satisfactory,Low,7.125,Rankable-B,True,True,0.935,5.543,8.407,7.5,google,126,,0,7.819,,,missing_source_discipline,missing_source_discipline
503478,Starbucks,Fast Food / Quick Service,CV37 6AU,21,9.272,Excellent,Low,8.339,Rankable-B,True,True,-0.933,9.969,7.171,7.5,google,548,,0,8.356,,,missing_source_discipline,missing_source_discipline
676556,The Straw Kitchen,Cafe / Coffee Shop,CV36 5PG,130,7.989,Good,Low,8.91,Rankable-B,True,True,0.921,8.855,9.428,7.5,google,250,,0,8.743,,,missing_source_discipline,missing_source_discipline
1672980,Greggs PLC,Bakery / Desserts,B49 6EH,75,8.638,Excellent,Low,7.72,Rankable-B,True,True,-0.918,9.839,6.742,5.0,google,58,,0,6.801,,,missing_source_discipline,missing_source_discipline
1927833,Slimming World,Other,CV35 0FA,,3.379,Not Ranked,Insufficient,4.292,Directional-C,False,False,0.913,,8.705,2.5,google,176,,0,8.674,,,low_evidence_gating,low_evidence_gating|missing_source_discipline
504026,Ragley Hall Catering,Hotel / Accommodation,B49 5NJ,85,8.549,Excellent,Low,7.645,Rankable-B,True,True,-0.904,8.991,8.998,0.0,google,1395,,0,9.68,,,missing_source_discipline,missing_source_discipline
1210746,The Alcester Inn,Pub / Bar,B49 6AQ,19,9.313,Excellent,Low,8.411,Rankable-B,True,True,-0.902,9.422,7.817,7.5,google,513,,0,8.893,,,missing_source_discipline,missing_source_discipline
503735,Costa,Cafe / Coffee Shop,CV37 0HZ,10,9.497,Excellent,Low,8.612,Rankable-B,True,True,-0.885,9.919,7.82,7.5,google,541,,0,8.568,,,missing_source_discipline,missing_source_discipline
1826834,Ferment And Flour (Bastardos),Cafe / Coffee Shop,CV36 4PP,62,8.762,Excellent,Low,7.878,Rankable-B,True,True,-0.884,9.758,7.166,5.0,google,18,,0,6.954,,,shrinkage_low_counts,missing_source_discipline|shrinkage_low_counts
1467814,Stratford Adventure Golf,Other,CV37 7LS,51,8.861,Excellent,Low,8.0,Rankable-B,True,True,-0.861,9.608,8.404,2.5,google,292,,0,8.807,,,missing_source_discipline,missing_source_discipline
503734,Premier Inn,Hotel / Accommodation,CV37 6UQ,45,8.962,Excellent,Low,8.102,Rankable-B,True,True,-0.86,9.557,7.842,5.0,google,860,,0,9.193,,,google_de_overweight,google_de_overweight|missing_source_discipline
1589295,The Tempest,Italian Restaurant,CV37 6EX,162,7.19,Good,Low,8.02,Rankable-B,True,True,0.83,7.376,8.765,7.5,google,120,,0,8.532,,,missing_source_discipline,missing_source_discipline
1453409,Bidford Juniors Football Club,Other,,,7.741,Not Ranked,Low,6.931,Directional-C,False,False,-0.81,9.49,6.968,0.0,google,6,,0,5.598,,,low_evidence_gating,low_evidence_gating|missing_source_discipline|shrinkage_low_counts
1014807,McDonald's,American / Grill,CV37 0AH,47,8.924,Excellent,Low,8.118,Rankable-B,True,True,-0.806,9.395,7.188,7.5,google,2386,,0,8.445,,,missing_source_discipline,missing_source_discipline
502838,Alveston Manor Hotel,Hotel / Accommodation,CV37 7HP,111,8.274,Excellent,Low,7.47,Rankable-B,True,True,-0.804,9.399,7.411,2.5,google,1938,,0,9.12,,,google_de_overweight,google_de_overweight|missing_source_discipline
1131857,Stratford Town FC,Other,CV37 7BZ,,8.398,Not Ranked,Low,7.597,Rankable-B,True,True,-0.801,8.887,8.148,2.5,google,219,,0,8.561,,,missing_source_discipline,missing_source_discipline
503926,Harbury Library Cafe,Cafe / Coffee Shop,CV33 9HW,71,8.695,Excellent,Low,7.9,Rankable-B,True,True,-0.795,8.618,8.228,5.0,google,26,,0,7.887,,,shrinkage_low_counts,missing_source_discipline|shrinkage_low_counts
1019047,Miller And Carter,American / Grill,CV37 6EX,41,8.995,Excellent,Low,8.206,Rankable-B,True,True,-0.789,7.0,9.512,7.5,google,8975,,0,9.4,,STALE-2Y,penalty_logic,penalty_logic|missing_source_discipline
1781021,Stratford Upon Avon Baptist Church,Other,CV37 6UA,,7.974,Not Ranked,Low,7.194,Rankable-B,True,True,-0.78,9.672,7.389,0.0,google,12,,0,6.319,,,shrinkage_low_counts,missing_source_discipline|shrinkage_low_counts
650308,New Summer Palace Restaurant,Chinese Restaurant,B80 7DF,182,5.906,Generally Satisfactory,Low,6.686,Rankable-B,True,True,0.78,5.351,7.601,7.5,google,522,,0,8.476,,,missing_source_discipline,missing_source_discipline
1927834,Golden Putter Stratford Upon,Other,CV37 7LS,,3.33,Not Ranked,Insufficient,4.104,Directional-C,False,False,0.774,,8.286,2.5,google,90,,0,8.206,,,low_evidence_gating,low_evidence_gating|missing_source_discipline
1474392,The Pavilion Coffee Shop And Community Space,Cafe / Coffee Shop,CV37 8YE,82,8.584,Excellent,Low,7.814,Rankable-B,True,True,-0.77,8.949,7.743,5.0,google,20,,0,6.695,,,shrinkage_low_counts,missing_source_discipline|shrinkage_low_counts
1826837,Cafe Chutneys,Indian Restaurant,CV37 0AX,178,6.302,Generally Satisfactory,Low,7.07,Rankable-B,True,True,0.768,5.881,7.982,7.5,google,291,,0,8.314,,,missing_source_discipline,missing_source_discipline
676561,The Embankment,Hotel / Accommodation,CV37 7LS,125,8.06,Excellent,Low,7.298,Rankable-B,True,True,-0.762,7.047,8.287,5.0,google,820,,0,9.325,,,missing_source_discipline,missing_source_discipline
1584577,Shakespeare's,Other,B94 5JU,126,8.04,Excellent,Low,7.282,Rankable-B,True,True,-0.758,7.406,8.767,2.5,google,1375,0.55,0,7.643,,,sentiment_removal,sentiment_removal|missing_source_discipline
1421981,Peppers,Indian Restaurant,B80 7HN,153,7.443,Good,Low,8.196,Rankable-B,True,True,0.753,8.381,8.263,7.5,google,148,,0,8.103,,,missing_source_discipline,missing_source_discipline
1206081,South Costa,Cafe / Coffee Shop,CV35 0RR,69,8.712,Excellent,Low,7.962,Rankable-B,True,True,-0.75,9.599,9.16,0.0,google,600,,0,9.464,,,missing_source_discipline,missing_source_discipline
1206079,Building 523 Costa And Kitchen,Cafe / Coffee Shop,CV35 0RR,68,8.712,Excellent,Low,7.962,Rankable-B,True,True,-0.75,9.599,9.16,0.0,google,600,,0,9.464,,,missing_source_discipline,missing_source_discipline
1397584,The Bluebell,Restaurant (General),B95 5AT,14,9.393,Excellent,Low,8.647,Rankable-B,True,True,-0.746,9.093,8.633,7.5,google,323,,0,8.814,,,missing_source_discipline,missing_source_discipline
1695937,Impasto Micro-Pizzeria,Italian Restaurant,CV37 6QY,123,8.094,Excellent,Medium,8.837,Rankable-B,True,True,0.743,8.778,9.336,7.5,google,121,0.75,0,8.769,,,structural_shift,structural_shift
1228994,Mor,Bakery / Desserts,CV37 6EX,28,9.189,Excellent,Low,8.46,Rankable-B,True,True,-0.729,9.357,8.816,5.0,google,275,,0,8.932,,,missing_source_discipline,missing_source_discipline
1774612,International Circus Churros 2,Bakery / Desserts,CV37 0RN,30,9.176,Excellent,Low,8.482,Rankable-B,True,True,-0.694,9.321,8.898,5.0,google,441,,0,9.206,,,missing_source_discipline,missing_source_discipline
1622076,Caffe Nero,Cafe / Coffee Shop,CV37 6AN,115,8.225,Excellent,Low,7.531,Rankable-B,True,True,-0.694,7.0,8.013,7.5,google,392,,0,8.471,,STALE-2Y,penalty_logic,penalty_logic|missing_source_discipline
559158,No 37 Cafe,Cafe / Coffee Shop,CV37 6EE,16,9.339,Excellent,Low,8.669,Rankable-B,True,True,-0.67,9.593,8.238,7.5,google,430,,0,8.592,,,missing_source_discipline,missing_source_discipline
1291217,Gardener's Retreat,Restaurant (General),CV35 9ER,159,7.311,Good,Low,6.648,Directional-C,False,False,-0.663,7.0,6.884,5.0,google,8,,0,6.324,,STALE-2Y,low_evidence_gating,low_evidence_gating|penalty_logic|missing_source_discipline|shrinkage_low_counts
1747706,The Long Itch Diner,Fast Food / Quick Service,CV47 9QZ,161,7.201,Good,Low,7.853,Rankable-B,True,True,0.652,7.241,8.514,7.5,google,849,,0,8.796,,,missing_source_discipline,missing_source_discipline
1747702,Beleza Rodizio,American / Grill,CV37 6EX,86,8.529,Excellent,Low,9.178,Rankable-B,True,True,0.649,9.258,9.665,7.5,google,950,,0,9.89,,,missing_source_discipline,missing_source_discipline
1804017,Cafe 86B,Cafe / Coffee Shop,B95 5BY,63,8.757,Excellent,Low,8.114,Rankable-B,True,True,-0.643,8.87,8.48,5.0,google,42,,0,8.084,,,missing_source_discipline,missing_source_discipline
1826838,Mouchak,Indian Restaurant,B50 4BG,183,5.651,Generally Satisfactory,Low,6.29,Rankable-B,True,True,0.639,5.445,7.472,5.0,google,11,,0,7.229,,,shrinkage_low_counts,missing_source_discipline|shrinkage_low_counts
503148,Nuthurst Grange Country House,Hotel / Accommodation,B94 5NL,171,6.845,Good,Low,7.453,Rankable-B,True,True,0.608,5.77,8.934,7.5,google,590,,0,9.374,,,missing_source_discipline,missing_source_discipline
1206075,Dec X Canteen,Cafe / Coffee Shop,CV35 0RR,98,8.418,Excellent,Low,7.812,Rankable-B,True,True,-0.606,9.224,9.16,0.0,google,600,,0,9.464,,,missing_source_discipline,missing_source_discipline
1563336,Chopstix South,Asian Restaurant,CV35 0AA,147,7.568,Good,Low,6.968,Rankable-B,True,True,-0.6,8.808,5.987,5.0,google,39,,0,6.321,,,missing_source_discipline,missing_source_discipline
1699665,Nel's At The Pavilion,Cafe / Coffee Shop,CV35 0AD,8,9.648,Excellent,Low,9.058,Rankable-B,True,True,-0.59,9.571,9.123,7.5,google,453,,0,8.91,,,missing_source_discipline,missing_source_discipline
1739370,Corte Campana,Italian Restaurant,CV37 6EX,120,8.141,Excellent,Low,8.731,Rankable-B,True,True,0.59,8.743,9.132,7.5,google,481,,0,9.336,,,missing_source_discipline,missing_source_discipline
1854461,The Red Lion,Pub / Bar,CV37 6YW,6,9.714,Excellent,Low,9.125,Rankable-B,True,True,-0.589,9.842,9.03,7.5,google,277,,0,9.017,,,missing_source_discipline,missing_source_discipline
1552328,The Phoenix,Italian Restaurant,CV37 6QY,107,8.311,Excellent,Low,8.898,Rankable-B,True,True,0.587,9.278,9.026,7.5,google,272,,0,8.642,,,missing_source_discipline,missing_source_discipline
1552333,Costa Coffee,Cafe / Coffee Shop,CV37 8LU,116,8.204,Excellent,Low,7.619,Rankable-B,True,True,-0.585,9.451,6.863,5.0,google,35,,0,6.108,,,missing_source_discipline,missing_source_discipline
503541,Costa,Food & Drink,CV37 0UA,96,8.436,Excellent,Low,7.852,Rankable-B,True,True,-0.584,9.221,7.585,5.0,google,388,,0,8.093,,,missing_source_discipline,missing_source_discipline
1712197,The Sandwich Shop,Fast Food / Quick Service,B95 5AT,128,8.006,Excellent,Low,7.424,Directional-C,False,False,-0.582,8.349,7.41,5.0,google,8,,0,7.204,,,low_evidence_gating,low_evidence_gating|missing_source_discipline|shrinkage_low_counts
1421980,Tzatziki34,Mediterranean Restaurant,CV37 6AB,177,6.617,Good,Low,7.182,Rankable-B,True,True,0.565,7.331,7.777,5.0,google,302,,0,8.587,,,missing_source_discipline,missing_source_discipline
1622078,Sushi Land,Japanese Restaurant,CV37 6NF,140,7.809,Good,Low,8.373,Rankable-B,True,True,0.564,8.406,8.635,7.5,google,141,,0,8.546,,,missing_source_discipline,missing_source_discipline
503711,Arden Tandoori,Indian Restaurant,B95 5AU,136,7.88,Good,Low,8.441,Rankable-B,True,True,0.561,8.458,8.74,7.5,google,199,,0,8.405,,,missing_source_discipline,missing_source_discipline
1754520,Cinnamon Arch,Indian Restaurant,CV47 9QJ,145,7.681,Good,Low,8.235,Rankable-B,True,True,0.554,8.394,8.339,7.5,google,52,,0,8.048,,,missing_source_discipline,missing_source_discipline
503480,Vintner Wine Bar,Pub / Bar,CV37 6EF,134,7.943,Good,High,8.496,Rankable-A,True,True,0.553,8.523,8.803,7.5,google|tripadvisor,907,1.0,0,9.361,,,structural_shift,structural_shift
565221,Costa,Cafe / Coffee Shop,B95 5DA,31,9.162,Excellent,Low,8.623,Rankable-B,True,True,-0.539,9.533,8.188,7.5,google,283,,0,8.372,,,missing_source_discipline,missing_source_discipline
676557,Plantarium,Vegan / Vegetarian,CV37 6NF,100,8.401,Excellent,Low,8.936,Rankable-B,True,True,0.535,8.721,9.607,7.5,google,575,,0,9.181,,,missing_source_discipline,missing_source_discipline
1743693,The Food Of Love,Fast Food / Quick Service,CV37 6QW,122,8.111,Excellent,Low,8.646,Rankable-B,True,True,0.535,9.618,8.164,7.5,google,241,,0,8.06,,,missing_source_discipline,missing_source_discipline
1622074,Lexi's Loving Spoonful,Other,CV47 2QZ,157,7.381,Good,Low,6.854,Directional-C,False,False,-0.527,9.254,7.005,0.0,google,6,,0,6.478,,,low_evidence_gating,low_evidence_gating|missing_source_discipline|shrinkage_low_counts
503345,KFC - Southbound,American / Grill,CV35 0AA,127,8.01,Excellent,Low,7.489,Rankable-B,True,True,-0.521,9.022,6.123,7.5,google,373,,0,7.563,,,missing_source_discipline,missing_source_discipline
1411434,Earlswood Lunch Club,Catering,B94 6BZ,154,7.435,Good,Low,6.914,Rankable-B,True,True,-0.521,8.779,7.562,0.0,google,32,,0,7.447,,,missing_source_discipline,missing_source_discipline
503342,Burger King - Northbound,American / Grill,CV35 0AA,149,7.511,Good,Low,6.993,Rankable-B,True,True,-0.518,9.76,4.364,7.5,google,65,,0,5.925,,,missing_source_discipline,missing_source_discipline
1871630,LeBuns,Pub / Bar,CV35 0JS,39,9.013,Excellent,Low,8.505,Rankable-B,True,True,-0.508,9.469,7.984,7.5,google,294,,0,8.319,,,missing_source_discipline,missing_source_discipline
502863,Hotel Indigo And The Woodsman,Hotel / Accommodation,CV37 6HA,72,8.683,Excellent,Low,8.183,Rankable-B,True,True,-0.5,9.177,9.193,2.5,google,826,,0,9.649,,,missing_source_discipline,missing_source_discipline
1896714,The Townhouse Also Trading As JR Hotel And Restaurants LTD,Pub / Bar,CV37 6HB,23,9.247,Excellent,Low,8.753,Rankable-B,True,True,-0.494,9.524,8.485,7.5,google,576,,0,8.819,,,missing_source_discipline,missing_source_discipline
1735216,The Stables,Hotel / Accommodation,B94 5BQ,102,8.364,Excellent,Low,7.881,Rankable-B,True,True,-0.483,9.205,8.498,2.5,google,98,,0,8.335,,,missing_source_discipline,missing_source_discipline
1152776,Gilks' Garage Cafe,Cafe / Coffee Shop,CV35 0JZ,4,9.778,Excellent,Low,9.303,Rankable-B,True,True,-0.475,9.834,9.433,7.5,google,935,,0,9.365,,,missing_source_discipline,missing_source_discipline
1871632,Sorrento Restaurant Taste Of Italy,Italian Restaurant,CV37 6LW,169,6.925,Good,Low,7.395,Rankable-B,True,True,0.47,5.919,8.673,7.5,google,426,,0,8.733,,,missing_source_discipline,missing_source_discipline
502681,Billesley Manor Hotel,Hotel / Accommodation,B49 6NF,133,7.97,Good,Low,7.518,Rankable-B,True,True,-0.452,8.77,8.078,2.5,google,1208,,0,9.36,,,missing_source_discipline,missing_source_discipline
503369,Studley Castle,Hotel / Accommodation,B80 7AJ,93,8.45,Excellent,Low,8.012,Rankable-B,True,True,-0.438,9.221,8.776,2.5,google,1698,,0,9.6,,,missing_source_discipline,missing_source_discipline
503444,Crowne Plaza,Hotel / Accommodation,CV37 6YR,114,8.247,Excellent,Low,7.825,Rankable-B,True,True,-0.422,9.255,8.329,2.5,google,3165,,0,9.44,,,missing_source_discipline,missing_source_discipline
1253303,Ettington Garden Cafe,Cafe / Coffee Shop,CV37 7TB,20,9.278,Excellent,Low,8.857,Rankable-B,True,True,-0.421,9.733,8.53,7.5,google,73,,0,8.244,,,missing_source_discipline,missing_source_discipline
1799218,Pizza Junction Kineton Ltd,Italian Restaurant,CV35 0LN,95,8.439,Excellent,Low,8.858,Rankable-B,True,True,0.419,9.209,8.999,7.5,google,133,,0,8.672,,,missing_source_discipline,missing_source_discipline
1842631,Snitterfield Arms,Pub / Bar,CV37 0JH,26,9.229,Excellent,Low,8.81,Rankable-B,True,True,-0.419,9.431,8.695,7.5,google,102,,0,8.438,,,missing_source_discipline,missing_source_discipline
503820,Cafe 16,Cafe / Coffee Shop,CV47 0HF,104,8.344,Excellent,Low,8.739,Rankable-B,True,True,0.395,8.948,8.966,7.5,google,215,,0,8.291,,,missing_source_discipline,missing_source_discipline
1739369,Paul's Catering,Food & Drink,CV37,137,7.863,Good,Low,7.47,Directional-C,False,False,-0.393,8.892,7.029,5.0,google,3,,0,6.262,,,low_evidence_gating,low_evidence_gating|missing_source_discipline|shrinkage_low_counts
503292,Wildwood Kitchen,Italian Restaurant,CV37 6EF,148,7.52,Good,Low,7.912,Rankable-B,True,True,0.392,7.631,8.299,7.5,google,1055,,0,9.036,,,missing_source_discipline,missing_source_discipline
1291215,Gardener's Retreat,Restaurant (General),B80 7DR,142,7.701,Good,Low,7.334,Rankable-B,True,True,-0.367,8.947,6.678,5.0,google,12,,0,5.739,,,shrinkage_low_counts,missing_source_discipline|shrinkage_low_counts
