id,fhrsid,name,rcs_v4_final,base_score,adjusted_score,confidence_class,coverage_status,rankable,league_table_eligible,companies_house,penalties,caps
242083,242083,Millennium Balti,7.628,7.628,7.628,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=768, r=5""}]"
241556,241556,Antelope Inn,8.359,8.359,8.359,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242509,242509,The Orange Tree,8.486,8.486,8.486,Rankable-B,coverage-ready,True,True,matched,[],[]
1587650,1587650,Karak Chaii,8.282,8.282,8.282,Rankable-B,coverage-ready,True,True,matched,[],[]
242755,242755,Blossom Catering,8.368,8.368,8.368,Rankable-B,coverage-ready,True,True,matched,[],[]
241831,241831,The Apple Tree Tearooms,7.331,7.331,7.331,Rankable-B,coverage-ready,True,True,matched,[],[]
242812,242812,The Magic Wingdom,,8.29,8.29,Directional-C,coverage-partial,False,False,unmatched,[],[]
241526,241526,Rustiq Restaurant,8.555,8.555,8.555,Rankable-B,coverage-ready,True,True,unmatched,[],[]
843030,843030,Starbucks at Budbrooke Services South,8.263,8.263,8.263,Directional-C,coverage-partial,False,False,unmatched,[],[]
242093,242093,Tea and the Gang,8.009,8.009,8.009,Rankable-B,coverage-partial,True,True,unmatched,[],[]
1132755,1132755,Hatton Garden Centre,8.214,8.214,8.214,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1224653,1224653,Perifinos,8.672,8.672,8.672,Rankable-B,coverage-ready,True,True,unmatched,[],[]
554877,554877,Royal Horse,8.157,8.157,8.157,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242142,242142,A La Cart The Cafe,8.77,8.77,8.77,Rankable-B,coverage-ready,True,True,matched,[],[]
242042,242042,Hill Top Farm Shop and Cafe,8.522,8.522,8.522,Rankable-B,coverage-ready,True,True,matched,[],[]
1624866,1624866,Guapa,7.479,7.479,7.479,Rankable-B,coverage-partial,True,True,unmatched,[],[]
1760947,1760947,Everyone Active at Castle Farm,4.705,4.705,4.705,Directional-C,coverage-partial,False,False,unmatched,[],[]
241859,241859,Royel Currys Limited t/a Royal Currys,9.091,9.091,9.091,Rankable-B,coverage-ready,True,True,matched,[],[]
242063,242063,Best One,7.304,7.304,7.304,Rankable-B,coverage-partial,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=983, r=5""}]"
1260860,1260860,Tambayan,8.111,8.111,8.111,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242519,242519,Barn Restaurant,8.994,8.994,8.994,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241446,241446,The Cross at Kenilworth,8.924,8.924,8.924,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1247070,1247070,Cafe 81 Lounge Whitnash,4.837,4.837,4.837,Directional-C,coverage-partial,False,False,unmatched,[],[]
1220418,1220418,Coffee on the Corner,8.494,8.494,8.494,Rankable-B,coverage-ready,True,True,matched,[],[]
242311,242311,Saxon Mill,8.569,8.569,8.569,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1086639,1086639,The Bridges Dining Room and Erics T/A Austin Heath,8.321,8.321,8.321,Rankable-B,coverage-partial,True,True,unmatched,[],[]
1171060,1171060,Starbucks Budbrooke North,8.02,8.02,8.02,Directional-C,coverage-partial,False,False,unmatched,[],[]
351764,351764,Baserri,8.752,8.752,8.752,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242172,242172,Little Monkeys Funhouse,8.692,8.692,8.692,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1214260,1214260,McDonalds Warwick,7.851,7.851,7.851,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242641,242641,Tasca Dali,7.568,7.568,7.568,Rankable-B,coverage-ready,True,True,unmatched,[],[]
351775,351775,Rugby Tavern,8.362,8.362,8.362,Rankable-B,coverage-ready,True,True,unmatched,[],[]
351790,351790,Grace & Vine,8.613,8.613,8.613,Rankable-B,coverage-ready,True,True,matched,[],[]
1500057,1500057,Otto Kitchen,6.895,6.895,6.895,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1728022,1728022,Momo Lisa,8.631,8.631,8.631,Rankable-B,coverage-ready,True,True,matched,[],[]
1734650,1734650,Fossato Lounge,8.561,8.561,8.561,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242667,242667,Cafe Desa,8.537,8.537,8.537,Rankable-B,coverage-ready,True,True,unmatched,[],[]
800371,800371,Lucky's Bar and Grill,5.997,5.997,5.997,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1907670,1907670,Cam's Kitchen,8.809,8.809,8.809,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242693,242693,Black Pug,7.659,7.659,7.659,Rankable-B,coverage-ready,True,True,matched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=870, r=5""}]"
242154,242154,Rose And Crown,4.863,4.863,4.863,Directional-C,coverage-partial,False,False,unmatched,[],[]
911185,911185,"Eyna Lounge, Grill and Bar",9.088,9.088,9.088,Rankable-B,coverage-ready,True,True,unmatched,[],[]
699029,699029,My Greek Station,8.301,8.301,8.301,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242309,242309,Old Mill,8.362,8.362,8.362,Rankable-B,coverage-ready,True,True,unmatched,[],[]
482046,482046,APNA Day Care Centre,8.373,8.373,8.373,Rankable-B,coverage-ready,True,True,unmatched,[],[]
984479,984479,Cafe Nova,9.04,9.04,9.04,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242638,242638,Clarendon,8.303,8.303,8.303,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241650,241650,Thai Kitchen,8.455,8.455,8.455,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242045,242045,New Inn,8.935,8.935,8.935,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242010,242010,Starbucks Coffee Company,8.183,8.183,8.183,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241943,241943,Newbold Comyn Cafe,8.057,8.057,8.057,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1886522,1886522,APC Food,6.497,6.497,6.497,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1492386,1492386,St Peters Celtic Football Club Cafe,8.196,8.196,8.196,Rankable-B,coverage-partial,True,True,unmatched,[],[]
241481,241481,Gusto Ricco,8.473,8.473,8.473,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242729,242729,Gather & Gather Ltd at National Grid,6.798,6.798,6.798,Rankable-B,coverage-ready,True,True,unmatched,[],[]
554872,554872,Cafe Tisto,8.562,8.562,8.562,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1524561,1524561,Grounded Kitchen,7.406,7.406,7.406,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=737, r=5""}]"
699016,699016,Coffee  Break,8.034,8.034,8.034,Rankable-B,coverage-ready,True,True,matched,[],[]
1785744,1785744,Sunrise Coffee,8.2,8.2,8.2,Rankable-B,coverage-ready,True,True,matched,[],[]
242219,242219,Grandstand Stoneleigh Events Ltd,8.472,8.472,8.472,Rankable-B,coverage-ready,True,True,matched,[],[]
241347,241347,Compass Group at JLR,8.58,8.58,8.58,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241702,241702,Swirls in the Park,7.786,7.786,7.786,Rankable-B,coverage-partial,True,True,matched,[],[]
1496426,1496426,The Steamhouse Depot,8.37,8.37,8.37,Rankable-B,coverage-ready,True,True,unmatched,[],[]
699026,699026,Nana's Japanese Cafe,8.837,8.837,8.837,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1770339,1770339,Morning Sunshine Coffee Ltd,8.429,8.429,8.429,Rankable-B,coverage-ready,True,True,matched,[],[]
242374,242374,Honey Blue,7.903,7.903,7.903,Directional-C,coverage-partial,False,False,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=975, r=5""}]"
1214261,1214261,Tea Society,7.834,7.834,7.834,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=982, r=5""}]"
1775099,1775099,Mexicanos Tapas & Cocktails,8.612,8.612,8.612,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242515,242515,Thai Elephant Restaurant,8.382,8.382,8.382,Rankable-B,coverage-ready,True,True,unmatched,[],[]
241762,241762,Costa Coffee,8.232,8.232,8.232,Rankable-B,coverage-ready,True,True,matched,[],[]
241407,241407,Rocking Horse Coffee Shop,8.217,8.217,8.217,Rankable-B,coverage-ready,True,True,unmatched,[],[]
768414,768414,Compass at Jaguar Land Rover,7.999,7.999,7.999,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242804,242804,La Coppola Ristorante & Oyster Bar,8.466,8.466,8.466,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242765,242765,Quaker Community Cafe,8.215,8.215,8.215,Rankable-B,coverage-partial,True,True,unmatched,[],[]
1745085,1745085,Corner Cottage Bakery Leamington Ltd,8.642,8.642,8.642,Rankable-B,coverage-ready,True,True,matched,[],[]
241429,241429,Eurest c/o Royal Mail @ Parcelforce International,6.805,6.805,6.805,Directional-C,coverage-partial,False,False,unmatched,[],[]
241519,241519,The Leopard  Inn Bishops Tachbrook,8.322,8.322,8.322,Rankable-B,coverage-ready,True,True,unmatched,[],[]
242106,242106,The Stag at Offchurch,7.922,7.922,7.922,Rankable-B,coverage-ready,True,True,unmatched,[],[]
