id,fhrsid,name,rcs_v4_final,base_score,adjusted_score,confidence_class,coverage_status,rankable,league_table_eligible,companies_house,penalties,caps
1896714,1896714,The Townhouse Also Trading As JR Hotel And Restaurants LTD,9.125,9.125,9.125,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1291217,1291217,Gardener's Retreat,7.398,7.398,7.398,Directional-C,coverage-partial,False,False,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=786, r=5""}]"
1228994,1228994,Mor,9.209,9.209,9.209,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1453409,1453409,Bidford Juniors Football Club,7.304,7.304,7.304,Directional-C,coverage-partial,False,False,unmatched,[],[]
503552,503552,Premier Inn,8.555,8.555,8.555,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503821,503821,The Balti Hut,7.478,7.478,7.478,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1790270,1790270,Bardia's,7.786,7.786,7.786,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1854458,1854458,Costa Coffee,8.836,8.836,8.836,Rankable-B,coverage-partial,True,True,unmatched,[],[]
503479,503479,The Pavillion,8.924,8.924,8.924,Rankable-B,coverage-ready,True,True,unmatched,[],[]
503541,503541,Costa,8.27,8.27,8.27,Rankable-B,coverage-partial,True,True,unmatched,[],[]
1835033,1835033,The Cottage Of Content,8.052,8.052,8.052,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1474392,1474392,The Pavilion Coffee Shop And Community Space,8.187,8.187,8.187,Rankable-B,coverage-partial,True,True,unmatched,[],[]
736236,736236,JNB Cafe,7.856,7.856,7.856,Rankable-B,coverage-ready,True,True,unmatched,[],"[{""code"": ""STALE-2Y"", ""effect"": ""TrustCompliance soft cap 7.0"", ""reason"": ""days_since_rd=1064, r=5""}]"
503715,503715,Cafe Living,7.324,7.324,7.324,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1622072,1622072,Hudson's,7.612,7.612,7.612,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1266894,1266894,Barnabys,8.236,8.236,8.236,Rankable-B,coverage-ready,True,True,unmatched,[],[]
1552322,1552322,Costa Coffee,7.829,7.829,7.829,Rankable-B,coverage-ready,True,False,unmatched,[],[]
1421992,1421992,Deli Cafe,8.969,8.969,8.969,Rankable-B,coverage-ready,True,True,unmatched,[],[]
